"Year","fatality_rate","rolling_10yr_avg"
2026.0,23.5,13.3200000000000000
2025.0,22.1,11.4300000000000000
2024.0,15.4,9.9200000000000000
2023.0,15.7,8.9400000000000000
2022.0,11.2,8.4400000000000000
2021.0,11.7,8.1000000000000000
2020.0,13.9,8.1100000000000000
2019.0,7.0,7.5200000000000000
2018.0,4.9,7.9200000000000000
2017.0,7.8,8.2600000000000000
2016.0,4.6,7.9300000000000000
2015.0,7.0,8.5800000000000000
2014.0,5.6,8.5800000000000000
2013.0,10.7,9.5900000000000000
2012.0,7.8,9.3900000000000000
2011.0,11.8,9.7600000000000000
2010.0,8.0,9.3400000000000000
2009.0,11.0,10.4200000000000000
2008.0,8.3,10.0800000000000000
2007.0,4.5,10.6600000000000000
2006.0,11.1,11.7900000000000000
2005.0,7.0,12.5100000000000000
2004.0,15.7,13.5200000000000000
2003.0,8.7,13.9500000000000000
2002.0,11.5,15.9900000000000000
2001.0,7.6,16.4800000000000000
2000.0,18.8,17.3000000000000000
1999.0,7.6,16.1900000000000000
1998.0,14.1,16.7800000000000000
1997.0,15.8,16.8000000000000000
1996.0,18.3,17.2200000000000000
1995.0,17.1,16.2000000000000000
1994.0,20.0,15.3200000000000000
1993.0,29.1,14.8200000000000000
1992.0,16.4,12.9500000000000000
1991.0,15.8,12.7700000000000000
1990.0,7.7,12.2100000000000000
1989.0,13.5,13.1500000000000000
1988.0,14.3,15.4000000000000000
1987.0,20.0,15.1700000000000000
1986.0,8.1,14.7100000000000000
1985.0,8.3,15.4400000000000000
1984.0,15.0,15.8600000000000000
1983.0,10.4,16.6700000000000000
1982.0,14.6,18.9600000000000000
1981.0,10.2,19.7200000000000000
1980.0,17.1,21.7000000000000000
1979.0,36.0,21.9400000000000000
1978.0,12.0,18.6700000000000000
1977.0,15.4,18.5600000000000000
1976.0,15.4,19.3100000000000000
1975.0,12.5,20.6500000000000000
1974.0,23.1,21.2800000000000000
1973.0,33.3,21.5500000000000000
1972.0,22.2,20.5900000000000000
1971.0,30.0,20.3500000000000000
1970.0,19.5,19.0200000000000000
1969.0,3.3,18.7400000000000000
1968.0,10.9,21.1400000000000000
1967.0,22.9,23.5100000000000000
1966.0,28.8,24.2200000000000000
1965.0,18.8,25.4600000000000000
1964.0,25.8,26.3700000000000000
1963.0,23.7,27.1200000000000000
1962.0,19.8,26.4600000000000000
1961.0,16.7,27.5800000000000000
1960.0,16.7,29.4600000000000000
1959.0,27.3,30.1700000000000000
1958.0,34.6,30.7700000000000000
1957.0,30.0,31.1000000000000000
1956.0,41.2,30.1000000000000000
1955.0,27.9,27.9000000000000000
1954.0,33.3,30.1100000000000000
1953.0,17.1,32.4500000000000000
1952.0,31.0,35.9400000000000000
1951.0,35.5,36.9400000000000000
1950.0,23.8,36.7200000000000000
1949.0,33.3,38.5100000000000000
1948.0,37.9,38.7800000000000000
1947.0,20.0,37.9100000000000000
1946.0,19.2,39.8400000000000000
1945.0,50.0,40.7300000000000000
1944.0,56.7,39.0600000000000000
1943.0,52.0,37.4600000000000000
1942.0,41.0,34.6400000000000000
1941.0,33.3,33.1300000000000000
1940.0,41.7,32.5600000000000000
1939.0,36.0,31.4700000000000000
1938.0,29.2,31.6500000000000000
1937.0,39.3,31.4200000000000000
1936.0,28.1,31.1700000000000000
1935.0,33.3,32.6500000000000000
1934.0,40.7,31.4600000000000000
1933.0,23.8,30.0200000000000000
1932.0,25.9,30.9700000000000000
1931.0,27.6,35.0500000000000000
1930.0,30.8,37.2900000000000000
1929.0,37.8,36.8800000000000000
1928.0,26.9,36.6700000000000000
1927.0,36.8,38.1500000000000000
1926.0,42.9,39.4700000000000000
1925.0,21.4,38.5100000000000000
1924.0,26.3,39.7000000000000000
1923.0,33.3,40.4000000000000000
1922.0,66.7,42.0700000000000000
1921.0,50.0,40.4000000000000000
1920.0,26.7,39.2500000000000000
1919.0,35.7,41.5800000000000000
1917.0,41.7,46.4700000000000000
1916.0,50.0,47.5400000000000000
1915.0,33.3,47.7800000000000000
1914.0,33.3,48.5700000000000000
1913.0,33.3,52.3800000000000000
1912.0,50.0,57.0500000000000000
1911.0,50.0,55.3800000000000000
1910.0,38.5,52.6900000000000000
1909.0,50.0,53.8400000000000000
1908.0,84.6,54.2900000000000000
1907.0,52.4,50.3800000000000000
1906.0,52.4,50.9700000000000000
1905.0,41.2,51.2300000000000000
1904.0,71.4,50.4400000000000000
1903.0,80.0,50.8000000000000000
1902.0,33.3,47.8000000000000000
1900.0,23.1,49.1400000000000000
1899.0,50.0,50.8300000000000000
1898.0,54.5,51.9800000000000000
1897.0,45.5,48.4100000000000000
1896.0,58.3,51.5500000000000000
1895.0,55.0,49.8900000000000000
1894.0,33.3,48.6800000000000000
1893.0,75.0,52.2700000000000000
1892.0,50.0,46.9100000000000000
1890.0,46.7,45.7600000000000000
1888.0,40.0,46.8000000000000000
1887.0,61.5,49.1600000000000000
1886.0,18.8,47.1800000000000000
1883.0,76.9,50.0200000000000000
1882.0,41.7,47.0333333333333333
1880.0,42.9,47.7000000000000000
1878.0,69.2,48.3857142857142857
1877.0,21.4,44.9166666666666667
1874.0,38.5,49.6200000000000000
1864.0,57.1,52.4000000000000000
1863.0,63.6,50.8333333333333333
1862.0,41.7,44.4500000000000000
0.0,47.2,47.2000000000000000
